"country","countryname","edate","party","partyname","day","month","year","econlr","econlr.se","econlr.lwr","econlr.upr","authlib","authlib.se","authlib.lwr","authlib.upr","tradmod","tradmod.se","tradmod.lwr","tradmod.upr"
74,"Turkey",1999-04-18,74324,"DSP Democratic Left Party",18,4,1999,0.730870668175491,0.0170547885984541,0.477797860509445,0.990310262979665,-0.138282396792334,0.0539539286799055,-0.596812265587865,0.312339251993247,0.0137571778677793,0.0971395638342133,-0.619772081628423,0.626031709832867
74,"Turkey",2002-11-03,74324,"DSP Democratic Left Party",3,11,2002,0.687836996778471,0.0182643992883281,0.427894115059827,0.957297368790239,-0.106312710646637,0.0615508501118125,-0.598733388200467,0.392314754728612,0.0447646516619631,0.118238435254595,-0.604385776354901,0.722102768608647
74,"Turkey",1950-05-14,74621,"DP Democratic Party",14,5,1950,3.53231465614844,0.352180771197504,2.40049700151698,4.73150663221156,-0.951582922983488,0.102322329538459,-1.59536991770299,-0.354486501672455,-0.508571994256259,0.10603998104423,-1.09391703205601,0.172731820179704
74,"Turkey",1954-05-02,74621,"DP Democratic Party",2,5,1954,3.58466644957591,0.327672648986701,2.48173541440061,4.84092286792123,-0.972067908975994,0.0950714471351607,-1.61468671276765,-0.411174176521273,-0.556260643650115,0.0902301739984921,-1.09678963025946,0.0693665243294236
74,"Turkey",1957-10-27,74621,"DP Democratic Party",27,10,1957,3.40144008730979,0.33048334776797,2.32024728588153,4.57294365782451,-0.966464841598485,0.106931070618295,-1.62921060142671,-0.371720845574149,-0.537598580624355,0.102079326311187,-1.14211133836859,0.120225138179318
74,"Turkey",1961-10-15,74622,"AP Justice Party",15,10,1961,0.290747078076615,0.0227576584980106,0.00327523023120134,0.58147102325929,-0.135788123954544,0.0359895460552232,-0.506967320698219,0.233283350774197,0.1545961369399,0.0705201948540491,-0.371716033651651,0.669447194473075
74,"Turkey",1965-10-10,74622,"AP Justice Party",10,10,1965,0.019558380445299,0.012371566499545,-0.193021996842907,0.239244306989086,-0.666535087842812,0.025837673704404,-1.00411661018832,-0.367728524301845,-0.583660795638432,0.0328167810523055,-0.927673945425426,-0.207973253736127
74,"Turkey",1969-10-12,74622,"AP Justice Party",12,10,1969,-0.0889986054996138,0.0101107915859045,-0.289628302917323,0.108601955033629,-0.287282155946757,0.00819214182694033,-0.465666474483124,-0.109717424609907,-0.444743111675226,0.0149998254161083,-0.675204405284343,-0.203453580282385
74,"Turkey",1973-10-14,74622,"AP Justice Party",14,10,1973,0.214295781941466,0.0140700662125368,-0.0233459276360001,0.448401171331412,-0.678038719136542,0.0103796414591348,-0.879041770186489,-0.478504283482977,-0.58756400174247,0.013558088952021,-0.806061825899544,-0.348359094469722
74,"Turkey",1977-06-05,74622,"AP Justice Party",5,6,1977,-0.380726797466129,0.0609940198306485,-0.87516769741547,0.10700731388415,0.503619825742237,0.00938849519071214,0.317380351730501,0.704293711177724,0.0581946625843221,0.0229767496721465,-0.242529949180619,0.363838917977933
74,"Turkey",1983-11-06,74623,"ANAP Motherland Party",6,11,1983,0.739376298679171,0.0239806510216723,0.449397503427571,1.0615882727544,0.3898336683863,0.106249739282214,-0.233778212766108,1.05867232754232,-0.0251716654181102,0.153165296447902,-0.779202667246583,0.738532439019037
74,"Turkey",1987-11-29,74623,"ANAP Motherland Party",29,11,1987,1.16298666852595,0.0229737973468004,0.88224554035852,1.4680738729584,-0.242596310750481,0.0183076713856958,-0.500049810811456,0.0154304113091845,0.406461335474452,0.037372497099281,0.0245156509392661,0.777507085384549
74,"Turkey",1991-10-20,74623,"ANAP Motherland Party",20,10,1991,1.01654498532208,0.0128465282346471,0.803606689510486,1.2372882381556,-0.826815863907649,0.0353208696257353,-1.22439262679418,-0.474066884853174,0.828435065769412,0.040103104519511,0.445385695105937,1.22215671688265
74,"Turkey",1995-12-24,74623,"ANAP Motherland Party",24,12,1995,1.72843817341794,0.0198315392549797,1.46777569789764,2.0218943555699,-0.382861825891133,0.00991508493264118,-0.584158349162226,-0.188537352476418,0.791557087673398,0.0149887600290893,0.553697822656824,1.0292249766262
74,"Turkey",1999-04-18,74623,"ANAP Motherland Party",18,4,1999,0.94054632475847,0.138715026626045,0.246310478192362,1.69545549408489,-0.435661269761072,0.158480549546511,-1.22508209899823,0.350495982291077,0.606347727315277,0.153894356569185,-0.186639004233445,1.37640214155201
74,"Turkey",2002-11-03,74623,"ANAP Motherland Party",3,11,2002,0.701706037958639,0.17751793875728,-0.118109641084435,1.52319957122463,-0.455587319420498,0.197860862613188,-1.40234161508348,0.38158658588382,0.500251303030562,0.212067789890276,-0.373808140405124,1.42184100636251
74,"Turkey",1987-11-29,74624,"DYP True Path Party",29,11,1987,0.351370338636621,0.00782095825862358,0.178536646335062,0.531185462170223,-0.427620365678822,0.00445724392696117,-0.559248044767125,-0.294769391190018,-0.135624377227933,0.0108906082335018,-0.340290465198587,0.0715507812189694
74,"Turkey",1991-10-20,74624,"DYP True Path Party",20,10,1991,2.48457337145762,0.0258782760343879,2.18186969186436,2.81303054209309,-1.1665645490649,0.0104124540957676,-1.37238091479382,-0.979137440984304,-0.369766099246429,0.0120401399389019,-0.586365937608211,-0.143539003928786
74,"Turkey",1995-12-24,74624,"DYP True Path Party",24,12,1995,1.76193711153539,0.027733792446303,1.44103723160644,2.09351512383472,-0.383343639407197,0.015452235038428,-0.645810803852799,-0.155959091845142,1.05397999427276,0.017548391066189,0.800288387394328,1.30816763489426
74,"Turkey",1999-04-18,74624,"DYP True Path Party",18,4,1999,2.15022194412806,0.0852406058484637,1.60101135720734,2.76056479326402,-1.62953021455725,0.0734801476496164,-2.19022490681335,-1.14907303770372,-0.181147846753226,0.0577198453166082,-0.622538049625156,0.305903191114535
74,"Turkey",1965-10-10,74625,"MP Nation Party",10,10,1965,0.848454511476096,0.0258410815190246,0.536541112926806,1.17331044255414,0.758042873743599,0.0360608885313261,0.389775386216374,1.13534791706125,0.878730726921451,0.0410311230494882,0.483584360043208,1.25972726553461
74,"Turkey",1969-10-12,74625,"MP Nation Party",12,10,1969,0.850599751057117,0.0246137548010112,0.550912000741391,1.17162684739946,0.75913614891086,0.0390771806852745,0.391196622328866,1.15556788424932,0.886097660595686,0.0440158590502453,0.463102522545467,1.29113276882274
74,"Turkey",1999-04-18,74626,"BBP Grand Unity Party",18,4,1999,1.78519487490013,0.0637669008280603,1.32141489752916,2.31895446636003,-0.25692845414855,0.00599084149620169,-0.403887689142825,-0.111197308754402,-0.198245263880061,0.015924839964112,-0.435488704063728,0.066599033767402
74,"Turkey",1999-04-18,74627,"DTP Democratic Turkey Party",18,4,1999,1.15892472594304,0.0449819489160333,0.75939670640729,1.59454008258251,-1.49926106056858,0.0959168788816027,-2.15819824131026,-0.939826916361061,0.186941720132056,0.0863529174461566,-0.373330693691394,0.764485614165187
74,"Turkey",1983-11-06,74711,"MDP Nationalist Democratic Party",6,11,1983,0.15529086947838,0.0510836871813516,-0.282284687416114,0.602774434523255,0.506406300707866,0.132196445949187,-0.190767310169182,1.26543807843369,-0.0462181279379951,0.189706577677451,-0.859193016434599,0.828884075421646
74,"Turkey",1961-10-15,74712,"MHP National Action Party",15,10,1961,-0.482647276436347,0.0136197922736185,-0.713982443333849,-0.257507754019263,1.94731566907596,0.0286299687302428,1.63051315589202,2.28664886462082,1.23637893946804,0.0255278137058667,0.934120910425323,1.55338174617308
74,"Turkey",1965-10-10,74712,"MHP National Action Party",10,10,1965,-0.488705480706711,0.0140052316088063,-0.720107923816457,-0.254956955405733,1.98634313524879,0.0267033172931574,1.67455126690676,2.30611602356382,1.26797006638419,0.024636039634182,0.966079331818893,1.56534156655939
74,"Turkey",1969-10-12,74712,"MHP National Action Party",12,10,1969,-0.489989623072497,0.0133147288820289,-0.715492652035933,-0.260482976104851,1.98693581432842,0.0269345580879678,1.6809894715175,2.32787858458524,1.27142618905376,0.0234054544153416,0.981097191296401,1.59554966989923
74,"Turkey",1973-10-14,74712,"MHP National Action Party",14,10,1973,-0.490334782578946,0.0127855851721837,-0.718791962175481,-0.275395234159418,1.9772656502393,0.0264109435484233,1.66399764701119,2.30655590316369,1.25994670336453,0.0239732765541922,0.965947486942576,1.57163755144129
74,"Turkey",1977-06-05,74712,"MHP National Action Party",5,6,1977,-0.445951439240557,0.0123155301252789,-0.671114570327301,-0.226059996654089,1.86801697122071,0.0256453562063792,1.56211415734059,2.18630815986385,1.16458928426113,0.0232702003286328,0.857792747348714,1.45458334904932
74,"Turkey",1999-04-18,74712,"MHP National Action Party",18,4,1999,0.74874163531274,0.0792934879678641,0.210434902301474,1.3261170077347,0.480182626664535,0.0221402077650405,0.194884987243324,0.767955048379646,0.22129997611311,0.0482783787060445,-0.21599919580487,0.642396780861672
74,"Turkey",1973-10-14,74714,"MSP National Salvation Party",14,10,1973,-0.154554844573663,0.0142652841046452,-0.383875194909747,0.0770579611358353,1.03571201215879,0.0152015096625319,0.802392166901044,1.28914581111281,1.33646695336297,0.0123677553139244,1.11165373202271,1.56097147555387
74,"Turkey",1977-06-05,74714,"MSP National Salvation Party",5,6,1977,-0.143931813965425,0.0218166271920334,-0.425673314800788,0.143994180369556,1.8330974698207,0.0314371604011392,1.49404273024014,2.19263528334365,1.85681656147691,0.0195763936068603,1.57981491022639,2.126102890144
